entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,"","Instructions"
"3394564724","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-62239","107485-63115","107485-12526","107485-65128","107485-23045","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3394564726","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-63115","107485-62239","107485-12526","107485-65128","107485-23045","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3394564728","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-62239","107485-39280","107485-12526","107485-86518","107485-65128","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3394564730","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-63115","107485-39280","107485-12526","107485-86518","107485-65128","","4) You can not use this form to create new entries"
"3394564732","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-63115","107485-39280","107485-91626","107485-12526","107485-29683",""
"3394564734","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-62239","107485-63115","107485-12526","107485-65128","107485-85845","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"3394564737","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-63115","107485-62239","107485-12526","107485-65128","107485-85845","",107485-62239:Josh Allen,107485-62239,QB,Josh,Josh Allen,Allen,23.953333536783855,3,17000,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"3394564738","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-63115","107485-91626","107485-12526","107485-86518","107485-65128","",107485-63115:Lamar Jackson,107485-63115,QB,Lamar,Lamar Jackson,Jackson,23.82666778564453,3,16500,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"3394564741","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-62239","107485-39280","107485-12526","107485-86518","107485-23045","",107485-39280:Derrick Henry,107485-39280,RB,Derrick,Derrick Henry,Henry,19.866666158040363,3,14500,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"3394564742","107485-271280181","$12K Sun NFL Hail Mary (Only $0.25 To Enter)","107485-63115","107485-39280","107485-12526","107485-86518","107485-23045","",107485-91626:James Cook,107485-91626,RB,James,James Cook,Cook,18.833333333333332,3,14000,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-112295:Zay Flowers,107485-112295,WR,Zay,Zay Flowers,Flowers,10.166666666666666,3,12000,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-86518:Khalil Shakir,107485-86518,WR,Khalil,Khalil Shakir,Shakir,12,3,11000,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-145558:Dalton Kincaid,107485-145558,TE,Dalton,Dalton Kincaid,Kincaid,6.166666666666667,3,10500,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-52436:Mark Andrews,107485-52436,TE,Mark,Mark Andrews,Andrews,3.1666666666666665,3,10000,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-87260:Isaiah Likely,107485-87260,TE,Isaiah,Isaiah Likely,Likely,9.700000127156576,3,9500,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-23045:Justin Tucker,107485-23045,K,Justin,Justin Tucker,Tucker,8.333333333333334,3,9000,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-65128:Tyler Bass,107485-65128,K,Tyler,Tyler Bass,Bass,10,3,9000,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-12555:Baltimore Ravens,107485-12555,D,Baltimore,Baltimore Ravens,Ravens,5.333333333333333,3,8500,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-12526:Buffalo Bills,107485-12526,D,Buffalo,Buffalo Bills,Bills,12.333333333333334,3,8500,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-157467:Keon Coleman,107485-157467,WR,Keon,Keon Coleman,Coleman,5.333333333333333,3,8000,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-71521:Justice Hill,107485-71521,RB,Justice,Justice Hill,Hill,6.366666793823242,3,8000,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-103694:Ray Davis,107485-103694,RB,Ray,Ray Davis,Davis,5.100000063578288,3,7500,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-85845:Rashod Bateman,107485-85845,WR,Rashod,Rashod Bateman,Bateman,7.366666793823242,3,7500,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-52613:Curtis Samuel,107485-52613,WR,Curtis,Curtis Samuel,Samuel,2.3333333333333335,3,7000,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-25267:Mack Hollins,107485-25267,WR,Mack,Mack Hollins,Hollins,3.866666793823242,3,7000,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-63050:Ty Johnson,107485-63050,RB,Ty,Ty Johnson,Johnson,5.5,3,6500,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-29683:Nelson Agholor,107485-29683,WR,Nelson,Nelson Agholor,Agholor,3,3,6500,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-40647:Marquez Valdes-Scantling,107485-40647,WR,Marquez,Marquez Valdes-Scantling,Valdes-Scantling,1.1999999682108562,3,6000,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-64585:Dawson Knox,107485-64585,TE,Dawson,Dawson Knox,Knox,2,2,6000,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-85635:Charlie Kolar,107485-85635,TE,Charlie,Charlie Kolar,Kolar,2.200000047683716,2,5500,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-90123:Quintin Morris,107485-90123,TE,Quintin,Quintin Morris,Morris,3.2000001271565757,3,5500,BUF@BAL,BUF,BAL,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-156527:Devontez Walker,107485-156527,WR,Devontez,Devontez Walker,Walker,,0,5500,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-110721:Dayton Wade,107485-110721,WR,Dayton,Dayton Wade,Wade,,0,5000,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-201345:Mike Rigerman,107485-201345,TE,Mike,Mike Rigerman,Rigerman,,0,5000,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-201344:DeAngelo Hardy,107485-201344,WR,DeAngelo,DeAngelo Hardy,Hardy,,0,5000,BUF@BAL,BAL,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-134023:Keaton Mitchell,107485-134023,RB,Keaton,Keaton Mitchell,Mitchell,8.175000190734863,8,5000,BUF@BAL,BAL,BUF,NA,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",107485-96269:Owen Wright,107485-96269,RB,Owen,Owen Wright,Wright,0,1,5000,BUF@BAL,BAL,BUF,IR,Foot,,,,MVP - 1.5X Points/AnyFLEX
