entry_id,contest_id,contest_name,MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,"","Instructions"
"3472968123","111372-273666401","$1K Sat NFL Hail Mary (Only $0.25 to Enter)","111372-63336","111372-85701","111372-57403","111372-56265","111372-130270","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3472969002","111372-273666401","$1K Sat NFL Hail Mary (Only $0.25 to Enter)","111372-85701","111372-63336","111372-89493","111372-48380","111372-130270","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3472969810","111372-273666401","$1K Sat NFL Hail Mary (Only $0.25 to Enter)","111372-85701","111372-102965","111372-57403","111372-185593","111372-103511","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3472970822","111372-273666401","$1K Sat NFL Hail Mary (Only $0.25 to Enter)","111372-63336","111372-102965","111372-89981","111372-93541","111372-120093","","4) You can not use this form to create new entries"
"","","","","","","","",""
"","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
"","","","","","","","","",111372-85701:Ja'Marr Chase,111372-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,21.080000813802084,15,16500,DEN@CIN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111372-63336:Joe Burrow,111372-63336,QB,Joe,Joe Burrow,Burrow,23.257332356770835,15,15000,DEN@CIN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111372-102965:Bo Nix,111372-102965,QB,Bo,Bo Nix,Nix,18.35333251953125,15,14000,DEN@CIN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111372-89493:Chase Brown,111372-89493,RB,Chase,Chase Brown,Brown,14.659999593098958,15,13000,DEN@CIN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111372-89981:Tee Higgins,111372-89981,WR,Tee,Tee Higgins,Higgins,14.669999694824218,10,12500,DEN@CIN,CIN,DEN,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111372-57403:Courtland Sutton,111372-57403,WR,Courtland,Courtland Sutton,Sutton,12.607142857142858,14,11500,DEN@CIN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111372-93541:Javonte Williams,111372-93541,RB,Javonte,Javonte Williams,Williams,8.106666564941406,15,10500,DEN@CIN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111372-185593:Andrei Iosivas,111372-185593,WR,Andrei,Andrei Iosivas,Iosivas,6.153333536783854,15,10000,DEN@CIN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111372-56265:Mike Gesicki,111372-56265,TE,Mike,Mike Gesicki,Gesicki,6.257142748151507,14,9500,DEN@CIN,CIN,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
"","","","","","","","","",111372-157150:Audric Estime,111372-157150,RB,Audric,Audric Estime,Estime,2.9636362249200996,11,9500,DEN@CIN,DEN,CIN,,,,,,MVP - 1.5X Points/AnyFLEX
